,Time,marker,Scene,Subject
0,38.536,3.0296296291053295,Outside,daehyun
1,38.536,3.0296296291053295,Outside,daehyun
2,41.4353,3.0296296291053295,Outside,daehyun
3,41.452,3.0296296291053295,Outside,daehyun
4,41.4686,3.033333335071802,Outside,daehyun
5,41.4853,3.0370370373129845,Outside,daehyun
6,41.502,3.0370370373129845,Outside,daehyun
7,41.5186,3.040740739554167,Outside,daehyun
8,41.5353,3.040740739554167,Outside,daehyun
9,41.5519,3.040740739554167,Outside,daehyun
10,41.5687,3.040740739554167,Outside,daehyun
11,41.5853,3.040740739554167,Outside,daehyun
12,41.602,3.040740739554167,Outside,daehyun
13,41.6188,3.040740739554167,Outside,daehyun
14,41.6353,3.040740739554167,Outside,daehyun
15,41.652,3.040740739554167,Outside,daehyun
16,41.6687,3.040740739554167,Outside,daehyun
17,41.6853,3.040740739554167,Outside,daehyun
18,41.702,3.040740739554167,Outside,daehyun
19,41.7187,3.040740739554167,Outside,daehyun
20,41.7353,3.040740739554167,Outside,daehyun
21,41.752,3.040740739554167,Outside,daehyun
22,41.7686,3.040740739554167,Outside,daehyun
23,41.786,3.0370370373129845,Outside,daehyun
24,41.8027,3.0370370373129845,Outside,daehyun
25,41.8196,3.0296296291053295,Outside,daehyun
26,41.8365,3.0222222227603197,Outside,daehyun
27,41.8527,3.01111111138016,Outside,daehyun
28,41.8688,3.0074074072763324,Outside,daehyun
29,41.8853,3.0,Outside,daehyun
30,41.902,3.0,Outside,daehyun
31,41.9187,3.0,Outside,daehyun
32,41.9353,3.0,Outside,daehyun
33,41.952,3.0,Outside,daehyun
34,41.9686,3.0,Outside,daehyun
35,41.9846,3.0,Outside,daehyun
36,42.0013,3.0,Outside,daehyun
37,42.0179,3.0,Outside,daehyun
38,42.0346,3.0,Outside,daehyun
39,42.0513,3.0,Outside,daehyun
40,42.0679,3.0,Outside,daehyun
41,42.0846,3.0,Outside,daehyun
42,42.1014,3.0,Outside,daehyun
43,42.1179,3.0,Outside,daehyun
44,42.1346,3.0,Outside,daehyun
45,42.1513,3.0,Outside,daehyun
46,42.1679,3.0,Outside,daehyun
47,42.1845,3.0,Outside,daehyun
48,42.2013,3.0,Outside,daehyun
49,42.2179,3.0,Outside,daehyun
50,42.2346,3.0,Outside,daehyun
51,42.2513,3.0,Outside,daehyun
52,42.2679,3.0,Outside,daehyun
53,42.2845,3.0,Outside,daehyun
54,42.3012,3.0,Outside,daehyun
55,42.3179,3.0,Outside,daehyun
56,42.3347,3.0,Outside,daehyun
57,42.3513,3.0,Outside,daehyun
58,42.3679,3.0,Outside,daehyun
59,42.3846,3.0,Outside,daehyun
60,42.402,3.0,Outside,daehyun
61,42.4179,3.0,Outside,daehyun
62,42.435,3.0,Outside,daehyun
63,42.4514,3.0,Outside,daehyun
64,42.468,3.0,Outside,daehyun
65,42.4846,3.0,Outside,daehyun
66,42.5013,3.0,Outside,daehyun
67,42.5179,3.0,Outside,daehyun
68,42.5349,3.0,Outside,daehyun
69,42.5513,3.0,Outside,daehyun
70,42.5679,3.0,Outside,daehyun
71,42.5846,3.0,Outside,daehyun
72,42.6013,3.0,Outside,daehyun
73,42.6179,3.0,Outside,daehyun
74,42.6352,3.0,Outside,daehyun
75,42.6513,3.0,Outside,daehyun
