,Time,marker,Scene,Subject
0,37.5248,2.9333333298563957,Outside,eunseo
1,37.5248,2.9333333298563957,Outside,eunseo
2,40.6081,2.9333333298563957,Outside,eunseo
3,40.6247,2.9333333298563957,Outside,eunseo
4,40.6426,2.9333333298563957,Outside,eunseo
5,40.6585,2.9333333298563957,Outside,eunseo
6,40.6756,2.9333333298563957,Outside,eunseo
7,40.6913,2.9333333298563957,Outside,eunseo
8,40.7081,2.9333333298563957,Outside,eunseo
9,40.7247,2.9333333298563957,Outside,eunseo
10,40.7415,2.9333333298563957,Outside,eunseo
11,41.1414,2.966666664928198,Outside,eunseo
12,41.1581,2.966666664928198,Outside,eunseo
13,41.1747,2.9703703708946705,Outside,eunseo
14,41.1914,2.974074074998498,Outside,eunseo
15,41.2081,2.9814814813435078,Outside,eunseo
16,41.2248,2.9851851854473352,Outside,eunseo
17,41.2414,3.0074074072763324,Outside,eunseo
18,41.258,3.0148148145526648,Outside,eunseo
19,41.2747,3.0370370373129845,Outside,eunseo
20,41.2914,3.0444444455206394,Outside,eunseo
21,41.3081,3.051851850003004,Outside,eunseo
22,41.3275,3.051851850003004,Outside,eunseo
23,41.3581,3.051851850003004,Outside,eunseo
24,41.3747,3.051851850003004,Outside,eunseo
25,41.3914,3.051851850003004,Outside,eunseo
26,41.4082,3.051851850003004,Outside,eunseo
27,41.4247,3.051851850003004,Outside,eunseo
28,41.4429,3.040740739554167,Outside,eunseo
29,41.4582,3.0296296291053295,Outside,eunseo
30,41.4748,3.0185185186564922,Outside,eunseo
31,41.4914,3.0074074072763324,Outside,eunseo
32,41.5081,2.996296296361834,Outside,eunseo
33,41.5248,2.9925925927236676,Outside,eunseo
34,41.5432,2.9814814813435078,Outside,eunseo
35,41.558,2.9777777772396803,Outside,eunseo
36,41.5748,2.959259260445833,Outside,eunseo
37,41.5914,2.9518518522381783,Outside,eunseo
38,41.6081,2.9444444440305233,Outside,eunseo
39,41.625,2.9444444440305233,Outside,eunseo
40,41.6426,2.9444444440305233,Outside,eunseo
41,41.6588,2.9444444440305233,Outside,eunseo
42,41.6748,2.9555555544793606,Outside,eunseo
43,41.6914,2.959259260445833,Outside,eunseo
44,41.708,2.974074074998498,Outside,eunseo
45,41.7247,2.9814814813435078,Outside,eunseo
46,41.7434,2.9925925927236676,Outside,eunseo
47,41.758,3.003703703638166,Outside,eunseo
48,41.7748,3.0185185186564922,Outside,eunseo
49,41.7913,3.0222222227603197,Outside,eunseo
50,41.8081,3.040740739554167,Outside,eunseo
51,41.8247,3.0444444455206394,Outside,eunseo
52,41.8428,3.0555555559694767,Outside,eunseo
53,41.858,3.0555555559694767,Outside,eunseo
54,41.8747,3.0555555559694767,Outside,eunseo
55,41.8913,3.0555555559694767,Outside,eunseo
56,41.9081,3.0555555559694767,Outside,eunseo
57,41.9251,3.0555555559694767,Outside,eunseo
58,41.9583,3.0555555559694767,Outside,eunseo
59,41.9757,3.051851850003004,Outside,eunseo
60,41.9913,3.0481481477618217,Outside,eunseo
61,42.0082,3.0296296291053295,Outside,eunseo
62,42.0247,3.025925925001502,Outside,eunseo
63,42.0414,3.0148148145526648,Outside,eunseo
64,42.058,3.01111111138016,Outside,eunseo
65,42.0747,3.01111111138016,Outside,eunseo
66,42.0914,3.01111111138016,Outside,eunseo
67,42.108,3.01111111138016,Outside,eunseo
68,42.1248,3.01111111138016,Outside,eunseo
69,42.1414,3.01111111138016,Outside,eunseo
70,42.158,3.0074074072763324,Outside,eunseo
71,42.1748,3.003703703638166,Outside,eunseo
72,42.1913,3.003703703638166,Outside,eunseo
73,42.2085,3.003703703638166,Outside,eunseo
74,42.2257,3.003703703638166,Outside,eunseo
75,42.2419,3.003703703638166,Outside,eunseo
76,42.2581,3.0,Outside,eunseo
77,42.2748,3.0,Outside,eunseo
78,42.2914,3.0,Outside,eunseo
79,42.3081,3.0,Outside,eunseo
80,42.3248,3.0,Outside,eunseo
81,42.3414,3.0,Outside,eunseo
82,42.3581,3.0,Outside,eunseo
83,42.3748,3.0,Outside,eunseo
84,42.3914,3.0,Outside,eunseo
85,42.408,3.0,Outside,eunseo
86,42.4247,3.0,Outside,eunseo
87,42.4415,2.9925925927236676,Outside,eunseo
88,42.458,2.98888888861984,Outside,eunseo
89,42.4747,2.9777777772396803,Outside,eunseo
90,42.4915,2.974074074998498,Outside,eunseo
91,42.5081,2.974074074998498,Outside,eunseo
92,42.5247,2.974074074998498,Outside,eunseo
93,42.5414,2.974074074998498,Outside,eunseo
94,42.558,2.974074074998498,Outside,eunseo
95,42.5752,2.9703703708946705,Outside,eunseo
96,42.5924,2.9703703708946705,Outside,eunseo
97,42.6248,2.9703703708946705,Outside,eunseo
98,42.6414,2.9703703708946705,Outside,eunseo
99,42.658,2.9703703708946705,Outside,eunseo
100,42.6748,2.974074074998498,Outside,eunseo
101,42.6913,2.9777777772396803,Outside,eunseo
102,42.708,2.9925925927236676,Outside,eunseo
103,42.7246,2.9925925927236676,Outside,eunseo
104,42.7414,3.003703703638166,Outside,eunseo
105,42.7581,3.0074074072763324,Outside,eunseo
106,42.7747,3.0074074072763324,Outside,eunseo
107,42.7915,3.01111111138016,Outside,eunseo
108,42.8082,3.01111111138016,Outside,eunseo
109,42.8247,3.0148148145526648,Outside,eunseo
110,42.8422,3.0148148145526648,Outside,eunseo
111,42.858,3.0148148145526648,Outside,eunseo
112,42.8752,3.0148148145526648,Outside,eunseo
113,42.8924,3.0148148145526648,Outside,eunseo
114,42.9248,3.0148148145526648,Outside,eunseo
115,42.9416,3.0148148145526648,Outside,eunseo
116,42.9589,3.0148148145526648,Outside,eunseo
117,42.9914,3.01111111138016,Outside,eunseo
118,43.008,3.0074074072763324,Outside,eunseo
119,43.0247,3.0,Outside,eunseo
120,43.0414,2.996296296361834,Outside,eunseo
121,43.058,2.996296296361834,Outside,eunseo
122,43.0747,2.9925925927236676,Outside,eunseo
123,43.0914,2.9925925927236676,Outside,eunseo
124,43.1081,2.9851851854473352,Outside,eunseo
125,43.1247,2.9777777772396803,Outside,eunseo
126,43.1417,2.9629629626870155,Outside,eunseo
127,43.158,2.9629629626870155,Outside,eunseo
128,43.1747,2.959259260445833,Outside,eunseo
129,43.1914,2.959259260445833,Outside,eunseo
130,43.2092,2.959259260445833,Outside,eunseo
131,43.2255,2.959259260445833,Outside,eunseo
132,43.2418,2.959259260445833,Outside,eunseo
133,43.258,2.959259260445833,Outside,eunseo
134,43.2747,2.959259260445833,Outside,eunseo
135,43.2914,2.959259260445833,Outside,eunseo
136,43.3081,2.959259260445833,Outside,eunseo
137,43.3247,2.959259260445833,Outside,eunseo
138,43.3581,2.959259260445833,Outside,eunseo
139,43.3748,2.9629629626870155,Outside,eunseo
140,43.3914,2.966666664928198,Outside,eunseo
141,43.4081,2.9703703708946705,Outside,eunseo
142,43.4247,2.9703703708946705,Outside,eunseo
143,43.4414,2.9703703708946705,Outside,eunseo
144,43.4582,2.9703703708946705,Outside,eunseo
145,43.4747,2.9703703708946705,Outside,eunseo
146,43.4914,2.9703703708946705,Outside,eunseo
147,43.5085,2.974074074998498,Outside,eunseo
148,43.5256,2.974074074998498,Outside,eunseo
149,43.5422,2.9777777772396803,Outside,eunseo
150,43.5581,2.9777777772396803,Outside,eunseo
151,43.5747,2.98888888861984,Outside,eunseo
152,43.5914,2.98888888861984,Outside,eunseo
153,43.6082,2.98888888861984,Outside,eunseo
154,43.6247,2.98888888861984,Outside,eunseo
155,43.6414,2.98888888861984,Outside,eunseo
156,43.6582,2.98888888861984,Outside,eunseo
157,43.6747,2.996296296361834,Outside,eunseo
158,43.6914,2.996296296361834,Outside,eunseo
159,43.7081,2.996296296361834,Outside,eunseo
160,43.7247,2.996296296361834,Outside,eunseo
