,Time,marker,Scene,Subject
0,42.8699,1.185185194015503,Outside,jaehoon
1,42.8699,1.185185194015503,Outside,jaehoon
2,45.4673,1.185185194015503,Outside,jaehoon
3,45.4846,1.185185194015503,Outside,jaehoon
4,45.5006,1.185185194015503,Outside,jaehoon
5,45.5174,1.185185194015503,Outside,jaehoon
6,45.5346,1.185185194015503,Outside,jaehoon
7,45.5674,1.185185194015503,Outside,jaehoon
8,45.5839,1.185185194015503,Outside,jaehoon
9,45.6008,1.185185194015503,Outside,jaehoon
10,45.6181,1.185185194015503,Outside,jaehoon
11,46.1847,1.185185194015503,Outside,jaehoon
12,46.2005,1.185185194015503,Outside,jaehoon
13,46.2175,1.185185194015503,Outside,jaehoon
14,46.2346,1.185185194015503,Outside,jaehoon
15,46.2506,1.185185194015503,Outside,jaehoon
16,46.2672,1.185185194015503,Outside,jaehoon
17,46.2839,1.185185194015503,Outside,jaehoon
18,46.3005,1.185185194015503,Outside,jaehoon
19,46.3174,1.185185194015503,Outside,jaehoon
20,46.3347,1.185185194015503,Outside,jaehoon
21,46.3505,1.185185194015503,Outside,jaehoon
22,46.3672,1.185185194015503,Outside,jaehoon
23,46.3842,1.1666666269302368,Outside,jaehoon
24,46.4015,1.1629629135131836,Outside,jaehoon
25,46.4172,1.1481481790542603,Outside,jaehoon
26,46.4338,1.144444465637207,Outside,jaehoon
27,46.4506,1.1370370388031006,Outside,jaehoon
28,46.4673,1.1370370388031006,Outside,jaehoon
29,46.4839,1.125925898551941,Outside,jaehoon
30,46.5014,1.1185184717178345,Outside,jaehoon
31,46.5172,1.100000023841858,Outside,jaehoon
32,46.534,1.0888888835906982,Outside,jaehoon
33,46.5506,1.025925874710083,Outside,jaehoon
34,46.5681,1.0037037134170532,Outside,jaehoon
35,46.5847,1.0,Outside,jaehoon
36,46.6013,1.0,Outside,jaehoon
37,46.6173,1.0,Outside,jaehoon
38,46.6339,1.0,Outside,jaehoon
39,46.6506,1.0,Outside,jaehoon
40,46.6672,1.0,Outside,jaehoon
41,46.6841,1.0,Outside,jaehoon
42,46.7005,1.0,Outside,jaehoon
43,46.7174,1.0,Outside,jaehoon
44,46.7347,1.0,Outside,jaehoon
45,46.7506,1.0,Outside,jaehoon
46,46.7674,1.0,Outside,jaehoon
47,46.784,1.0,Outside,jaehoon
48,46.8006,1.0,Outside,jaehoon
49,46.8173,1.0,Outside,jaehoon
50,46.834,1.0,Outside,jaehoon
51,46.8506,1.0,Outside,jaehoon
52,46.8675,1.0,Outside,jaehoon
53,46.8848,1.0,Outside,jaehoon
54,46.9012,1.0,Outside,jaehoon
55,46.9173,1.0,Outside,jaehoon
56,46.9346,1.0,Outside,jaehoon
57,46.9507,1.0,Outside,jaehoon
58,169.1663,1.9962962865829468,Outside,jaehoon
59,169.183,1.9962962865829468,Outside,jaehoon
60,169.1999,1.9962962865829468,Outside,jaehoon
61,169.2159,1.9962962865829468,Outside,jaehoon
62,169.2323,1.9962962865829468,Outside,jaehoon
63,169.249,1.9962962865829468,Outside,jaehoon
64,169.2664,1.9962962865829468,Outside,jaehoon
65,169.2823,1.9962962865829468,Outside,jaehoon
66,169.2991,1.9962962865829468,Outside,jaehoon
67,169.3157,1.9962962865829468,Outside,jaehoon
68,169.3325,1.9962962865829468,Outside,jaehoon
69,169.3497,1.9962962865829468,Outside,jaehoon
70,175.4489,1.0,Outside,jaehoon
71,175.4657,1.0,Outside,jaehoon
72,175.4832,1.0,Outside,jaehoon
73,175.4992,1.0,Outside,jaehoon
74,175.5156,1.0,Outside,jaehoon
75,175.5322,1.0,Outside,jaehoon
76,175.5489,1.0,Outside,jaehoon
77,175.5657,1.0,Outside,jaehoon
78,175.5825,1.0,Outside,jaehoon
79,186.233,2.9370370358228683,Outside,jaehoon
80,186.2497,2.9370370358228683,Outside,jaehoon
81,186.267,2.9370370358228683,Outside,jaehoon
82,186.2838,2.9370370358228683,Outside,jaehoon
83,186.3002,2.9370370358228683,Outside,jaehoon
84,186.3163,2.9370370358228683,Outside,jaehoon
85,186.3328,2.9370370358228683,Outside,jaehoon
86,186.3495,2.9370370358228683,Outside,jaehoon
87,186.3663,2.9370370358228683,Outside,jaehoon
88,186.3836,2.9370370358228683,Outside,jaehoon
89,186.3996,2.9370370358228683,Outside,jaehoon
90,188.4336,1.0074074268341064,Outside,jaehoon
91,188.4506,1.0074074268341064,Outside,jaehoon
92,188.4661,1.0074074268341064,Outside,jaehoon
93,188.4834,1.0074074268341064,Outside,jaehoon
94,188.5004,1.0074074268341064,Outside,jaehoon
95,188.5168,1.0074074268341064,Outside,jaehoon
96,188.5338,1.0074074268341064,Outside,jaehoon
97,188.5503,1.0074074268341064,Outside,jaehoon
98,188.5674,1.0074074268341064,Outside,jaehoon
99,188.5847,1.0074074268341064,Outside,jaehoon
100,213.7997,2.8185185194015503,Outside,jaehoon
101,213.8159,2.8185185194015503,Outside,jaehoon
102,213.8325,2.8185185194015503,Outside,jaehoon
103,213.8492,2.8185185194015503,Outside,jaehoon
104,213.866,2.8185185194015503,Outside,jaehoon
105,213.8842,2.8185185194015503,Outside,jaehoon
106,213.9001,2.8185185194015503,Outside,jaehoon
107,213.9167,2.8185185194015503,Outside,jaehoon
108,213.9341,2.8185185194015503,Outside,jaehoon
109,213.9499,2.8185185194015503,Outside,jaehoon
110,213.9665,2.8185185194015503,Outside,jaehoon
111,219.068,1.0111111402511597,Outside,jaehoon
112,219.0992,1.0111111402511597,Outside,jaehoon
113,219.1152,1.0111111402511597,Outside,jaehoon
114,219.1317,1.0111111402511597,Outside,jaehoon
115,219.1483,1.0111111402511597,Outside,jaehoon
116,219.165,1.0111111402511597,Outside,jaehoon
