,Time,marker,Scene,Subject
0,116.3463,3.059259258210659,Outside,jaehyung
1,116.3463,3.059259258210659,Outside,jaehyung
2,117.262,3.059259258210659,Outside,jaehyung
3,117.2786,3.059259258210659,Outside,jaehyung
4,117.2953,3.059259258210659,Outside,jaehyung
5,117.312,3.059259258210659,Outside,jaehyung
6,117.3286,3.059259258210659,Outside,jaehyung
7,117.3453,3.059259258210659,Outside,jaehyung
8,117.362,3.059259258210659,Outside,jaehyung
9,117.3786,3.059259258210659,Outside,jaehyung
10,117.3955,3.059259258210659,Outside,jaehyung
11,117.8288,3.025925925001502,Outside,jaehyung
12,117.8455,3.025925925001502,Outside,jaehyung
13,117.8621,3.025925925001502,Outside,jaehyung
14,117.879,3.025925925001502,Outside,jaehyung
15,117.8964,3.025925925001502,Outside,jaehyung
16,117.912,3.025925925001502,Outside,jaehyung
17,117.9286,3.025925925001502,Outside,jaehyung
18,117.9453,3.025925925001502,Outside,jaehyung
19,117.9623,3.025925925001502,Outside,jaehyung
20,117.9787,3.025925925001502,Outside,jaehyung
21,117.9954,3.0185185186564922,Outside,jaehyung
22,118.012,3.0185185186564922,Outside,jaehyung
23,118.0286,3.0185185186564922,Outside,jaehyung
24,118.0452,3.0185185186564922,Outside,jaehyung
25,118.0627,3.0185185186564922,Outside,jaehyung
26,118.0786,3.0185185186564922,Outside,jaehyung
27,118.0954,3.0185185186564922,Outside,jaehyung
28,118.112,3.0185185186564922,Outside,jaehyung
29,118.1287,3.0185185186564922,Outside,jaehyung
30,118.1453,3.0185185186564922,Outside,jaehyung
31,118.162,3.0185185186564922,Outside,jaehyung
32,118.1786,3.0185185186564922,Outside,jaehyung
33,118.1953,3.0185185186564922,Outside,jaehyung
34,118.212,3.0185185186564922,Outside,jaehyung
35,118.2299,3.0185185186564922,Outside,jaehyung
36,118.2464,3.0185185186564922,Outside,jaehyung
37,118.2633,3.0185185186564922,Outside,jaehyung
38,118.2786,3.0185185186564922,Outside,jaehyung
39,118.2953,3.0185185186564922,Outside,jaehyung
40,118.3131,3.0185185186564922,Outside,jaehyung
41,118.3286,3.0185185186564922,Outside,jaehyung
42,118.3453,3.0185185186564922,Outside,jaehyung
43,118.3623,3.0185185186564922,Outside,jaehyung
44,118.3787,3.0185185186564922,Outside,jaehyung
45,118.3953,3.0185185186564922,Outside,jaehyung
46,118.4137,3.0185185186564922,Outside,jaehyung
47,118.4286,3.0185185186564922,Outside,jaehyung
48,118.4453,3.0185185186564922,Outside,jaehyung
49,118.462,3.0185185186564922,Outside,jaehyung
50,118.4786,3.0185185186564922,Outside,jaehyung
51,118.4953,3.0185185186564922,Outside,jaehyung
52,118.5135,3.0185185186564922,Outside,jaehyung
53,118.5286,3.0185185186564922,Outside,jaehyung
54,118.5457,3.0185185186564922,Outside,jaehyung
55,118.563,3.0185185186564922,Outside,jaehyung
56,118.5789,3.0185185186564922,Outside,jaehyung
57,118.5955,3.0185185186564922,Outside,jaehyung
58,118.6121,3.0185185186564922,Outside,jaehyung
59,118.6286,3.0185185186564922,Outside,jaehyung
60,118.6453,3.0185185186564922,Outside,jaehyung
61,118.6627,3.0185185186564922,Outside,jaehyung
62,118.6787,3.0185185186564922,Outside,jaehyung
63,118.6953,3.0185185186564922,Outside,jaehyung
64,120.1788,3.01111111138016,Outside,jaehyung
65,120.1953,3.01111111138016,Outside,jaehyung
66,120.212,3.01111111138016,Outside,jaehyung
67,120.2305,3.01111111138016,Outside,jaehyung
68,120.2453,3.01111111138016,Outside,jaehyung
69,120.2625,3.01111111138016,Outside,jaehyung
70,120.2786,3.01111111138016,Outside,jaehyung
71,120.2954,3.01111111138016,Outside,jaehyung
72,120.312,3.01111111138016,Outside,jaehyung
73,120.3305,3.01111111138016,Outside,jaehyung
74,120.3454,3.01111111138016,Outside,jaehyung
75,120.3623,3.0148148145526648,Outside,jaehyung
76,120.3786,3.0185185186564922,Outside,jaehyung
77,120.3957,3.0185185186564922,Outside,jaehyung
78,120.4131,3.0185185186564922,Outside,jaehyung
79,120.4288,3.0185185186564922,Outside,jaehyung
80,120.4453,3.0185185186564922,Outside,jaehyung
81,120.4627,3.0185185186564922,Outside,jaehyung
82,120.4786,3.0185185186564922,Outside,jaehyung
