,Time,marker,Scene,Subject
0,73.5508,2.7555555552244186,Outside,serin
1,73.5508,2.7555555552244186,Outside,serin
2,75.5007,2.7555555552244186,Outside,serin
3,75.5175,2.7555555552244186,Outside,serin
4,75.5341,2.7555555552244186,Outside,serin
5,75.5508,2.7555555552244186,Outside,serin
6,75.5674,2.7555555552244186,Outside,serin
7,75.5841,2.7555555552244186,Outside,serin
8,75.6007,2.7555555552244186,Outside,serin
9,75.6178,2.7555555552244186,Outside,serin
10,75.6341,2.7555555552244186,Outside,serin
11,76.3341,2.811111107468605,Outside,serin
12,76.3508,2.811111107468605,Outside,serin
13,76.3674,2.811111107468605,Outside,serin
14,76.3841,2.811111107468605,Outside,serin
15,76.4007,2.8185185194015503,Outside,serin
16,76.4174,2.8222222179174423,Outside,serin
17,76.4341,2.855555549263954,Outside,serin
18,76.4508,2.8925925940275192,Outside,serin
19,76.4674,2.9555555544793606,Outside,serin
20,76.4841,2.974074074998498,Outside,serin
21,76.5008,3.025925925001502,Outside,serin
22,76.5174,3.040740739554167,Outside,serin
23,76.5341,3.074074074625969,Outside,serin
24,76.5508,3.103703700006008,Outside,serin
25,76.5674,3.1333333402872086,Outside,serin
26,76.5841,3.162962958216667,Outside,serin
27,76.6007,3.1777777820825577,Outside,serin
28,76.6174,3.1851851791143417,Outside,serin
29,76.6341,3.1851851791143417,Outside,serin
30,76.6508,3.192592591047287,Outside,serin
31,76.6674,3.2111111134290695,Outside,serin
32,76.6841,3.2148148119449615,Outside,serin
33,76.7008,3.2518518567085266,Outside,serin
34,76.7174,3.262962967157364,Outside,serin
35,76.7349,3.2814814746379852,Outside,serin
36,76.7508,3.2851851880550385,Outside,serin
37,76.7674,3.2851851880550385,Outside,serin
38,76.7841,3.2851851880550385,Outside,serin
39,76.8007,3.2851851880550385,Outside,serin
40,76.8174,3.2851851880550385,Outside,serin
41,76.8341,3.2851851880550385,Outside,serin
42,77.9341,2.3333333134651184,Outside,serin
43,77.9508,2.3333333134651184,Outside,serin
44,77.9674,2.3333333134651184,Outside,serin
45,77.984,2.3333333134651184,Outside,serin
46,78.0007,2.3333333134651184,Outside,serin
47,78.0174,2.3333333134651184,Outside,serin
48,78.0341,2.3333333134651184,Outside,serin
49,78.0508,2.3333333134651184,Outside,serin
50,78.0674,2.3333333134651184,Outside,serin
51,78.084,2.3333333134651184,Outside,serin
52,79.334,2.25555557012558,Outside,serin
53,79.3507,2.25555557012558,Outside,serin
54,79.3674,2.25555557012558,Outside,serin
55,79.384,2.259259283542633,Outside,serin
56,79.4007,2.2629629373550415,Outside,serin
57,79.4174,2.2629629373550415,Outside,serin
58,79.434,2.2629629373550415,Outside,serin
59,79.4507,2.2629629373550415,Outside,serin
60,79.4673,2.2629629373550415,Outside,serin
61,79.484,2.2629629373550415,Outside,serin
62,79.5007,2.2629629373550415,Outside,serin
63,79.5174,2.2629629373550415,Outside,serin
64,79.534,2.2629629373550415,Outside,serin
65,79.5507,2.2629629373550415,Outside,serin
66,79.5674,2.2481481432914734,Outside,serin
67,79.584,2.240740716457367,Outside,serin
68,79.6007,2.2037037014961243,Outside,serin
69,79.6174,2.188888907432556,Outside,serin
70,79.634,2.1370370388031006,Outside,serin
71,79.6507,2.1222222447395325,Outside,serin
72,79.6675,2.07407408952713,Outside,serin
73,79.684,2.044444441795349,Outside,serin
74,79.7007,1.9925925731658936,Outside,serin
75,79.7174,1.974074125289917,Outside,serin
76,79.734,1.9222222566604614,Outside,serin
77,79.7507,1.9111111164093018,Outside,serin
78,79.7673,1.899999976158142,Outside,serin
79,79.784,1.899999976158142,Outside,serin
80,79.8007,1.899999976158142,Outside,serin
81,79.8174,1.899999976158142,Outside,serin
82,79.834,1.8851852416992188,Outside,serin
83,79.8507,1.8666666746139526,Outside,serin
84,79.8674,1.8185185194015503,Outside,serin
85,79.884,1.814814805984497,Outside,serin
86,79.9007,1.8074073791503906,Outside,serin
87,79.9174,1.8037036657333374,Outside,serin
88,79.934,1.796296238899231,Outside,serin
89,79.9507,1.788888931274414,Outside,serin
90,79.9686,1.7666666507720947,Outside,serin
91,79.984,1.7518517971038818,Outside,serin
92,80.0007,1.7333333492279053,Outside,serin
93,80.0174,1.7259259223937988,Outside,serin
94,80.034,1.7074073553085327,Outside,serin
95,80.0507,1.7000000476837158,Outside,serin
96,80.0682,1.685185194015503,Outside,serin
97,80.084,1.6740740537643433,Outside,serin
98,80.1007,1.67037034034729,Outside,serin
99,80.1174,1.67037034034729,Outside,serin
100,80.134,1.67037034034729,Outside,serin
101,80.1507,1.67037034034729,Outside,serin
102,80.1688,1.67037034034729,Outside,serin
103,80.184,1.67037034034729,Outside,serin
104,80.2007,1.67037034034729,Outside,serin
105,80.2174,1.67037034034729,Outside,serin
106,80.234,1.67037034034729,Outside,serin
107,80.2507,1.67037034034729,Outside,serin
